UBIGEO,DEPARTAMENTO,PROVINCIA,Distrito,Zona,Latitud,Longitud,cobertura.cell,Educ.sec.comp,esp.vid.nacer,Ing.fam.p.cap,NBS.2017,No.Pobreza,Tasa.docen_pub,cobertura.cell_mf,Tasa.docen_pub_mf
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,X,-6.2294,-77.8714,87.5,79.56270499773225,72.19267446694317,1259.1302441074904,88.0,90.965375,200.54163381440472,87.5,200.54163381440472
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,X,-6.0317,-77.7122,11.111111111111114,71.00683150377321,71.36455274669044,561.1026337230529,26.599999999999994,63.480050999999996,138.88888888888889,11.111111111111114,138.88888888888889
10103,AMAZONAS,CHACHAPOYAS,BALSAS,X,-6.8375,-78.0214,32.14285714285714,32.772383770972255,68.5944049111095,415.0210470319895,62.2,54.267038,188.56447688564478,32.14285714285714,188.56447688564478
10104,AMAZONAS,CHACHAPOYAS,CHETO,X,-6.2558,-77.7003,6.25,52.210905517480306,77.52825245732767,398.663339100127,72.7,60.830218,287.6480541455161,6.25,287.6480541455161
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,X,-6.0778,-77.7392,30.232558139534888,36.86893174234378,72.4601514868895,325.93053088503234,40.9,46.95433799999999,101.89228529839883,30.232558139534888,101.89228529839883
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,X,-6.9333,-77.8575,37.5,30.431499215902807,67.01416143046922,267.38750299093635,64.0,48.392168,285.85271317829455,37.5,285.85271317829455
10107,AMAZONAS,CHACHAPOYAS,GRANADA,X,-6.0997,-77.6344,8.333333333333343,25.709370027228236,66.18183564267636,766.8057163809906,64.0,56.13404299999999,369.39313984168865,8.333333333333343,369.39313984168865
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,X,-6.1747,-77.8686,57.142857142857146,65.35856081597308,73.06259823842711,525.798289065862,83.5,68.022688,60.19563581640331,57.142857142857146,60.19563581640331
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,X,-6.4825,-77.8192,32.0,42.662944342736665,73.09450199987279,305.7147008552298,61.3,52.052277000000004,246.689642662797,32.0,246.689642662797
10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,X,-6.6636,-77.8006,26.388888888888886,39.98940691187228,70.29947947949306,615.8532409284508,70.4,74.25831600000001,211.60247265810744,26.388888888888886,211.60247265810744
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,X,-6.3086,-77.8994,84.84848484848484,39.631719909082726,76.45234932351796,418.12422320150586,68.8,58.918555999999995,185.61484918793502,84.84848484848484,185.61484918793502
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,X,-6.3736,-77.9017,66.66666666666667,53.25512362782992,71.6224137748989,848.5523902039488,78.5,69.36591200000001,217.3913043478261,66.66666666666667,217.3913043478261
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,X,-6.5939,-77.8053,51.89873417721519,50.26326274986194,69.29510898017024,752.3181038375416,74.4,60.769118,192.69776876267747,51.89873417721519,192.69776876267747
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,X,-6.2056,-77.6683,6.451612903225808,53.63825401364164,70.27566358477007,529.8481932967343,62.2,64.345696,185.45454545454547,6.451612903225808,185.45454545454547
10115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,X,-6.6133,-77.8025,55.0,42.60409890226393,71.25949141385368,737.6623414929259,79.2,61.355511,227.27272727272728,55.0,227.27272727272728
10116,AMAZONAS,CHACHAPOYAS,OLLEROS,X,-6.0239,-77.6761,,53.25512362782992,71.93832959195329,435.89541196081825,15.700000000000003,52.0918,110.19283746556474,40.15748031496062,110.19283746556474
10117,AMAZONAS,CHACHAPOYAS,QUINJALCA,X,-6.085,-77.66,5.128205128205138,52.071676436100354,73.32243829290016,494.98085291024677,15.0,52.880798,120.48192771084338,5.128205128205138,120.48192771084338
10118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,X,-6.2333,-77.7392,42.10526315789473,55.570563785561646,71.22268398592,831.2588258889177,74.7,70.295906,256.4102564102564,42.10526315789473,256.4102564102564
10119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,X,-6.3533,-77.8439,52.525252525252526,38.234447732800966,69.79649622038562,426.209374114065,70.5,56.629885,241.8207681365576,52.525252525252526,241.8207681365576
10120,AMAZONAS,CHACHAPOYAS,SOLOCO,X,-6.2619,-77.7453,53.84615384615385,36.31031156442948,74.39712355122938,481.7886705570554,67.4,58.937636,168.97081413210446,53.84615384615385,168.97081413210446
10121,AMAZONAS,CHACHAPOYAS,SONCHE,X,-6.2183,-77.7753,46.666666666666664,34.083279121811145,74.25363556129022,641.3081270198046,33.2,44.149798,137.61467889908258,46.666666666666664,137.61467889908258
10201,AMAZONAS,BAGUA,BAGUA,X,-5.6389,-78.5319,55.172413793103445,70.79550120563063,73.02563696239686,1074.01502532359,74.6,83.787165,214.63339848990074,55.172413793103445,214.63339848990074
10202,AMAZONAS,BAGUA,ARAMANGO,X,-5.4156,-78.4361,27.58620689655173,37.54588506902197,73.24213443641177,535.8061543006487,37.1,61.474193,268.73857404021936,27.58620689655173,268.73857404021936
10203,AMAZONAS,BAGUA,COPALLIN,X,-5.6733,-78.4228,80.0,52.57136106354846,74.21915204632617,859.4187304174368,54.6,75.469742,151.92277259059978,80.0,151.92277259059978
10204,AMAZONAS,BAGUA,EL PARCO,X,-5.6247,-78.4764,100.0,70.21540936820999,74.33305778713057,801.145916304229,40.1,64.750412,140.75067024128688,100.0,140.75067024128688
10205,AMAZONAS,BAGUA,IMAZA,ZG,-5.16,-78.2903,11.949685534591197,31.29571856943457,73.06586348789934,309.13989064421236,11.599999999999994,46.05031000000001,419.76729844180403,11.949685534591197,419.76729844180403
10206,AMAZONAS,BAGUA,LA PECA,X,-5.6092,-78.4344,74.28571428571429,48.50599098130371,71.50711585190133,960.8637998891598,57.6,65.238334,247.26640159045726,74.28571428571429,247.26640159045726
10301,AMAZONAS,BONGARA,JUMBILLA,X,-5.9006,-77.7958,25.80645161290323,42.20926025608978,70.16858166418757,759.009687046202,77.3,70.45232200000001,221.08843537414967,25.80645161290323,221.08843537414967
10302,AMAZONAS,BONGARA,CHISQUILLA,X,-5.9003,-77.7839,18.91891891891892,77.51764145443788,71.54189779859567,797.7511453256975,40.2,57.75816999999999,89.55223880597015,18.91891891891892,89.55223880597015
10303,AMAZONAS,BONGARA,CHURUJA,X,-6.0192,-77.9517,77.77777777777777,80.4990892026855,64.3844584280216,950.3463607324894,63.8,79.21305,148.6988847583643,77.77777777777777,148.6988847583643
10304,AMAZONAS,BONGARA,COROSHA,X,-5.8294,-77.84,86.66666666666667,41.841334500830875,73.30360352229191,669.1598088661374,16.200000000000003,45.203632,191.20458891013385,86.66666666666667,191.20458891013385
10305,AMAZONAS,BONGARA,CUISPES,X,-5.9236,-77.9392,65.38461538461539,37.441436838458365,67.59690438348588,354.42397951957685,58.9,54.168411,66.74082313681869,65.38461538461539,66.74082313681869
10306,AMAZONAS,BONGARA,FLORIDA,X,-5.8336,-77.9714,32.653061224489804,38.10741197550097,71.89133744479778,486.65522857456045,49.1,66.317786,144.29181576820963,32.653061224489804,144.29181576820963
10307,AMAZONAS,BONGARA,JAZAN,X,-5.9419,-77.9806,91.83673469387755,57.66827407288429,71.69287937486317,919.4305052280898,74.8,77.287099,222.48368809498342,91.83673469387755,222.48368809498342
10308,AMAZONAS,BONGARA,RECTA,X,-5.9194,-77.7861,21.42857142857143,26.833029734228496,68.9394876750971,473.3343445691657,35.599999999999994,61.309295,49.75124378109452,21.42857142857143,49.75124378109452
